event1_all_repo_name,event2_all_repo_name,count
vuejs/vue-hackernews-2.0,vuejs/vue,2
ampproject/amphtml,babel/babel,2
zeit/now-app,zeit/next.js,2
zeit/now-app,zeit/hyper,2
jlevy/the-art-of-command-line,open-guides/og-aws,2
facebookincubator/create-react-app,babel/babel,2
AngularClass/awesome-angular2,AngularClass/angular2-webpack-starter,2
emberjs/ember.js,servo/servo,2
kraken-php/framework,naptha/tesseract.js,2
babel/babel,webpack/webpack,2
rails/rails,elixir-lang/elixir,2
AngularClass/angular2-webpack-starter,AngularClass/awesome-angular2,2
akveo/ng2-admin,AngularClass/angular2-webpack-starter,2
ayushoriginal/Sentiment-Analysis-Twitter,ayushoriginal/Consensus-Based-Summarizer,2
enaqx/awesome-react,zeit/next.js,2
Microsoft/language-server-protocol,Microsoft/TypeScript,2
naptha/tesseract.js,kraken-php/framework,2
facebook/relay,facebook/react-native,2
Homebrew/brew,yarnpkg/yarn,2
ariya/phantomjs,kubernetes/minikube,2
naptha/tesseract.js,engineerapart/TheRemoteFreelancer,2
electron/electron,nodejs/node,2
Instagram/IGListKit,apple/swift-evolution,2
facebook/react,jondot/awesome-react-native,2
clarus/redux-ship,engineerapart/TheRemoteFreelancer,2
home-assistant/home-assistant,electron/electron,2
ariya/phantomjs,electron/electron,2
laravel/laravel,emberjs/ember.js,2
AngularClass/awesome-angular2,angular/material2,2
vuejs/vue,ElemeFE/element,2
vuejs/vuex,vuejs/awesome-vue,2
facebook/react-native,facebook/flow,2
facebook/react-native,facebook/relay,2
redux-observable/redux-observable,ReactiveX/rxjs,2
laravel/laravel,CachetHQ/Cachet,2
zeit/hyper,zeit/now-app,2
kubernetes/minikube,laravel/laravel,2
yarnpkg/yarn,Homebrew/brew,2
PHPMailer/PHPMailer,laravel/laravel,2
jwasham/google-interview-university,engineerapart/TheRemoteFreelancer,2
facebook/react,acdlite/recompose,2
engineerapart/TheRemoteFreelancer,naptha/tesseract.js,2
engineerapart/TheRemoteFreelancer,jwasham/google-interview-university,2
sindresorhus/awesome-electron,sqreen/awesome-nodejs-projects,2
coreos/rkt,emberjs/ember.js,2
electron/electron,ariya/phantomjs,2
angular/angular,angular/angular.js,2
ElemeFE/element,ElemeFE/mint-ui,2
scikit-learn/scikit-learn,fchollet/keras,2
laravel/laravel,PHPMailer/PHPMailer,2
electron/electron,emberjs/ember.js,2
electron/electron,videojs/video.js,2
square/okhttp,square/retrofit,2
TryGhost/Ghost,request/request,2
Microsoft/TypeScript,Microsoft/vscode,2
shockone/black-screen,ParsePlatform/parse-server,2
AngularClass/angular2-webpack-starter,akveo/ng2-admin,2
OAI/OpenAPI-Specification,swagger-api/swagger-ui,2
babel/babel,ampproject/amphtml,2
tensorflow/tensorflow,apache/spark,2
CachetHQ/Cachet,laravel/laravel,2
electron/electron,github/gitignore,2
facebook/react,atom/atom,2
Microsoft/vscode,Microsoft/TypeScript,2
ayushoriginal/Consensus-Based-Summarizer,ayushoriginal/Sentiment-Analysis-Twitter,2
zeit/next.js,zeit/now-app,2
angular/angular,angular/material2,2
detailyang/awesome-cheatsheet,jwasham/google-interview-university,2
django/django,servo/servo,2
webpack/webpack,babel/babel,2
ElemeFE/element,vuejs/awesome-vue,2
vuejs/awesome-vue,vuejs/vue-router,2
request/request,TryGhost/Ghost,2
angular/material2,AngularClass/awesome-angular2,2
engineerapart/TheRemoteFreelancer,clarus/redux-ship,2
atom/atom,facebook/react,2
yarnpkg/yarn,eslint/eslint,2
servo/servo,django/django,2
square/retrofit,square/okhttp,2
ElemeFE/element,vuejs/vue,2
jessicard/remote-jobs,lukasz-madon/awesome-remote-job,2
docker/labs,docker/docker,2
fzaninotto/Faker,PHPMailer/PHPMailer,2
yarnpkg/yarn,vuejs/vue,2
avajs/ava,sindresorhus/xo,2
yarnpkg/yarn,callemall/material-ui,2
vuejs/awesome-vue,vuejs/vuex,2
sindresorhus/awesome-nodejs,zeit/hyper,2
jwasham/google-interview-university,detailyang/awesome-cheatsheet,2
open-guides/og-aws,naptha/tesseract.js,2
nodejs/node,eslint/eslint,2
callemall/material-ui,yarnpkg/yarn,2
acdlite/recompose,facebook/react,2
Microsoft/language-server-protocol,Microsoft/vscode,2
angular/angular-cli,AngularClass/awesome-angular2,2
facebookincubator/create-react-app,facebook/jest,2
AngularClass/awesome-angular2,angular/angular-cli,2
electron/electron,yarnpkg/yarn,2
Semantic-Org/Semantic-UI-React,redux-observable/redux-observable,2
babel/babel,facebookincubator/create-react-app,2
redux-observable/redux-observable,Semantic-Org/Semantic-UI-React,2
eslint/eslint,yarnpkg/yarn,2
rails/rails,emberjs/ember.js,2
sqreen/awesome-nodejs-projects,sindresorhus/awesome-electron,2
eslint/eslint,airbnb/javascript,2
Microsoft/TypeScript,Microsoft/language-server-protocol,2
angular/material2,angular/angular,2
ParsePlatform/parse-server,shockone/black-screen,2
angular/material2,ngrx/store,2
swagger-api/swagger-ui,OAI/OpenAPI-Specification,2
yarnpkg/yarn,electron/electron,2
sindresorhus/xo,avajs/ava,2
electron/electron,servo/servo,2
zeit/hyper,sindresorhus/awesome-nodejs,2
verekia/js-stack-from-scratch,DevExpress/testcafe,2
open-guides/og-aws,jlevy/the-art-of-command-line,2
vuejs/vue,vuejs/vue-hackernews-2.0,2
channelcat/sanic,naptha/tesseract.js,2
ngrx/store,angular/material2,2
DevExpress/testcafe,verekia/js-stack-from-scratch,2
kubernetes/minikube,ariya/phantomjs,2
jondot/awesome-react-native,facebook/react,2
laravel/laravel,kubernetes/minikube,2
naptha/tesseract.js,channelcat/sanic,2
docker/docker,docker/labs,2
ReactiveX/rxjs,redux-observable/redux-observable,2
nodejs/node,electron/electron,2
servo/servo,electron/electron,2
ariya/phantomjs,spf13/hugo,2
emberjs/ember.js,coreos/rkt,2
channelcat/sanic,baidu/bfs,1
deepstreamIO/deepstream.io,trueadm/inferno,1
eslint/eslint,npm/npm,1
engineerapart/TheRemoteFreelancer,pixijs/pixi.js,1
alibaba/druid,alibaba/fastjson,1
channelcat/sanic,transcranial/keras-js,1
lengstrom/fast-style-transfer,jondot/awesome-react-native,1
sindresorhus/awesome-nodejs,sorrycc/awesome-javascript,1
facebook/relay,facebook/flow,1
h4cc/awesome-elixir,elixir-lang/elixir,1
baidu/bfs,noffle/art-of-readme,1
github/gitignore,crystal-lang/crystal,1
twbs/bootstrap,atom/atom,1
acdlite/recompose,vuejs/vue,1
sindresorhus/awesome-nodejs,gatsbyjs/gatsby,1
vuejs/vue,trueadm/inferno,1
acdlite/recompose,trueadm/inferno,1
ampproject/amphtml,FreeCodeCamp/FreeCodeCamp,1
naptha/tesseract.js,anfederico/Clairvoyant,1
arthepsy/ssh-audit,Bottr-js/Bottr,1
iview/iview,ElemeFE/element,1
arthepsy/ssh-audit,anfederico/Clairvoyant,1
tekezo/Karabiner-Elements,tekezo/Karabiner,1
chentsulin/electron-react-boilerplate,eslint/eslint,1
jashkenas/underscore,WhiteHouse/fb_messenger_bot,1
tqchen/tinyflow,dmlc/xgboost,1
facebook/react-native,react-native-community/react-native-elements,1
jquery/jquery,lodash/lodash,1
FreeCodeCamp/FreeCodeCamp,leereilly/games,1
malcommac/SwiftDate,fastlane/fastlane,1
explosion/spaCy,styled-components/styled-components,1
chentsulin/electron-react-boilerplate,krisk/Fuse,1
angular/angular,google/material-design-lite,1
nodejs/node,DefinitelyTyped/DefinitelyTyped,1
