event1_all_repo_name,event2_all_repo_name,count
angular/angular-cli,webpack/webpack,12
webpack/webpack,angular/angular-cli,12
hashicorp/terraform,docker/docker,12
yarnpkg/yarn,rollup/rollup,12
kubernetes/kubernetes,golang/go,12
rollup/rollup,yarnpkg/yarn,12
angular/angular.js,angular/angular,12
facebook/react-native,facebook/flow,12
ReactTraining/react-router,yarnpkg/yarn,12
Microsoft/vscode,npm/npm,12
ReactiveX/rxjs,angular/angular,12
yarnpkg/yarn,lerna/lerna,11
yarnpkg/yarn,docker/docker,11
facebook/jest,babel/babel,11
atom/atom,Microsoft/vscode,11
getlantern/lantern,getlantern/forum,11
facebookincubator/create-react-app,facebook/react-native,11
webpack/webpack,eslint/eslint,11
electron/electron,atom/atom,11
facebook/react-native,facebookincubator/create-react-app,11
lerna/lerna,yarnpkg/yarn,11
docker/docker,yarnpkg/yarn,11
atom/atom,electron/electron,11
getlantern/forum,getlantern/lantern,11
npm/npm,webpack/webpack,11
Microsoft/vscode,atom/atom,11
eslint/eslint,webpack/webpack,11
webpack/webpack,npm/npm,11
babel/babel,facebook/jest,11
webpack/webpack,facebook/flow,10
ngrx/store,angular/angular-cli,10
aksonov/react-native-router-flux,airbnb/react-native-maps,10
airbnb/react-native-maps,aksonov/react-native-router-flux,10
facebook/react,facebook/flow,10
DefinitelyTyped/DefinitelyTyped,webpack/webpack,10
docker/infrakit,docker/docker,10
nodejs/node,Microsoft/vscode,10
babel/babel,npm/npm,10
nodejs/node,eslint/eslint,10
Microsoft/language-server-protocol,Microsoft/vscode,10
angular/angular-cli,ngrx/store,10
facebook/flow,facebook/react,10
angular/angular,ngrx/store,10
eslint/eslint,facebookincubator/create-react-app,10
eslint/eslint,nodejs/node,10
angular/angular,npm/npm,10
ngrx/store,angular/angular,10
facebook/flow,webpack/webpack,10
facebookincubator/create-react-app,eslint/eslint,10
callemall/material-ui,erikras/redux-form,10
erikras/redux-form,callemall/material-ui,10
webpack/webpack,AngularClass/angular2-webpack-starter,10
Microsoft/vscode,nodejs/node,10
facebook/react,facebook/jest,10
zeit/next.js,zeit/hyper,10
docker/docker,docker/infrakit,10
webpack/webpack,DefinitelyTyped/DefinitelyTyped,10
Microsoft/vscode,Microsoft/language-server-protocol,10
npm/npm,angular/angular,10
facebook/jest,facebook/react,10
npm/npm,babel/babel,10
AngularClass/angular2-webpack-starter,webpack/webpack,10
zeit/hyper,zeit/next.js,10
ElemeFE/element,vuejs/vue,9
angular/material2,AngularClass/angular2-webpack-starter,9
angular/angular-cli,npm/npm,9
